t,A0,C1,C2,scope,scenario,v_abs,v_el,v_distr
0.0,0.0,0.0,0.0,ode_,multiple_15,,,
0.0,15.0,0.0,0.0,sw2,multiple_15,,,
3.3331111185190124e-6,14.999000099992593,0.00015871411265001566,2.4953669301815616e-11,ode_,multiple_15,,,
3.666422230370913e-5,14.98900476511893,0.0017452542997511014,3.018697914223011e-9,ode_,multiple_15,,,
0.00036997533415561033,14.88941703401045,0.017550710349538933,3.0667579544502194e-7,ode_,multiple_15,,,
0.003174221862346261,14.077330869854682,0.1463007937169055,2.2142657992767124e-5,ode_,multiple_15,,,
0.008946283182509052,12.542520823735654,0.3888948435088569,0.00016913046325835998,ode_,multiple_15,,,
0.01702472658406691,10.671276270708686,0.6830441099706818,0.000580476477445706,ode_,multiple_15,,,
0.028016975164716275,8.565227659323641,1.0111597303219237,0.0014644450658903765,ode_,multiple_15,,,
0.04249919040488444,6.411328378040128,1.3417492989267477,0.003080335975003969,ode_,multiple_15,,,
0.060908317893242574,4.43658236423483,1.6370324235702662,0.005676627776075911,ode_,multiple_15,,,
0.08324387202471535,2.8382135998519638,1.8648637988485195,0.009370751778723124,ode_,multiple_15,,,
0.10905373735485768,1.6938125852268433,2.0134577285696307,0.014083372728914703,ode_,multiple_15,,,
0.13789707049975153,0.9513484652289994,2.092272487466411,0.019639196293242962,ode_,multiple_15,,,
0.16935750888152734,0.5070908391167963,2.119186979650681,0.025832505944377426,ode_,multiple_15,,,
0.20305419062260524,0.2584719402631608,2.1118000850859793,0.03247177832420908,ode_,multiple_15,,,
0.23863592225071892,0.12687448023510903,2.0836955074918593,0.039396706667633764,ode_,multiple_15,,,
0.2757926072244822,0.060347989194485196,2.043979821755127,0.04648258753273616,ode_,multiple_15,,,
0.3142604432528222,0.027962171321718923,1.9982061036487688,0.053636313672692684,ode_,multiple_15,,,
0.35382937648445495,0.012674280145421856,1.9495414127642012,0.06079116785831128,ode_,multiple_15,,,
0.39435627254509703,0.005635903618501849,1.899693588090183,0.06790330254046767,ode_,multiple_15,,,
0.435800641519847,0.0024606188687196886,1.8494922772911186,0.07495299972761746,ode_,multiple_15,,,
0.4782900525725817,0.0010521092290068964,1.7991865031107444,0.08195077638734324,ode_,multiple_15,,,
0.5222411496705553,0.00043692117008860233,1.7485273269785573,0.08895088816947562,ode_,multiple_15,,,
0.5684855928447728,0.00017332900671358716,1.6967759307919303,0.09606202378614807,ode_,multiple_15,,,
0.6183023553331931,6.403539566219433e-5,1.6427918976706157,0.10343987631232658,ode_,multiple_15,,,
0.6733501510712881,2.13219653271982e-5,1.5852169748246459,0.11126313180951762,ode_,multiple_15,,,
0.7357130940266103,6.146240363498326e-6,1.5225382390956619,0.11972406428013474,ode_,multiple_15,,,
0.8081587597467269,1.4595597791879279e-6,1.4529842695222637,0.12903981802256048,ode_,multiple_15,,,
0.8946376974035533,2.7154232510665566e-7,1.3743196597943503,0.13947398459096058,ode_,multiple_15,,,
1.0011518871634324,4.1785756741101355e-8,1.2835737568434922,0.15136032842793853,ode_,multiple_15,,,
1.1371332115857191,1.024166409712067e-8,1.1768683359067493,0.1651000993525163,ode_,multiple_15,,,
1.3153660342685312,1.136017877367654e-8,1.0511256064862493,0.18089779178907212,ode_,multiple_15,,,
1.5349428004728372,4.878968398312886e-8,0.9157241706563024,0.1973117567044527,ode_,multiple_15,,,
1.7620983835787027,2.616854543152739e-7,0.7953139491773824,0.21122966358741138,ode_,multiple_15,,,
1.9694517367693154,7.726893940099102e-7,0.7004412308392801,0.22160090986916312,ode_,multiple_15,,,
2.153917958632756,1.0677995742685417e-6,0.6265161615209706,0.2292090751818345,ode_,multiple_15,,,
2.324074716974878,8.844993450625495e-7,0.5660188052851416,0.23504375718675036,ode_,multiple_15,,,
2.4894526210999794,6.145891887871118e-7,0.513504335667742,0.23975238267723925,ode_,multiple_15,,,
2.6563382425165813,4.5147001681169575e-7,0.4661115610235737,0.24365052565084222,ode_,multiple_15,,,
2.8273146441522536,3.853404924067948e-7,0.42276022413319136,0.24685562804278555,ode_,multiple_15,,,
3.0022115834579375,3.792007730985642e-7,0.38326365160586073,0.24940383469545932,ode_,multiple_15,,,
3.1793786771193426,4.048916011718959e-7,0.34769334820252396,0.25132114253239185,ode_,multiple_15,,,
3.3569925540398446,4.392907177541715e-7,0.31600887720887805,0.25265334502688636,ode_,multiple_15,,,
3.533905777242072,4.6480548183489053e-7,0.2879557815618878,0.2534646259233463,ode_,multiple_15,,,
3.7098146599009185,4.743827620190791e-7,0.2631374889866275,0.2538235363097279,ode_,multiple_15,,,
3.8849770289079313,4.713152448633022e-7,0.24112725541654512,0.2537918580530594,ode_,multiple_15,,,
4.059829960395365,4.630696493191842e-7,0.22154285122263107,0.2534209593498904,ode_,multiple_15,,,
4.234722995851178,4.55627262313356e-7,0.20407157875717363,0.252753246428994,ode_,multiple_15,,,
4.409819374873562,4.5160513657931536e-7,0.18846333889930428,0.25182507591709336,ode_,multiple_15,,,
4.585120786791288,4.509393963824329e-7,0.17451255303262678,0.2506689440125058,ode_,multiple_15,,,
4.760544760274112,4.522674907223558e-7,0.16204189733803462,0.24931442879621696,ode_,multiple_15,,,
4.93599879898745,4.540910245614346e-7,0.1508923921537397,0.2477882893689645,ode_,multiple_15,,,
5.111422833377516,4.554294002693567e-7,0.14091927345580377,0.24611433072720765,ode_,multiple_15,,,
5.286798102518526,4.5596993173533745e-7,0.13199110329927483,0.24431342208101178,ode_,multiple_15,,,
